predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
advise,investor,ARG1,The financial consultant advised the investor on the best stocks to buy.,1.0,"After much consideration, the lawyer advised the investor regarding the legal implications of their new venture.",1.0,The seasoned entrepreneur advised the investor to diversify their portfolio to mitigate risks.,1.0,The tax advisor carefully advised the investor on how to optimize their investments for tax benefits.,1.0,The mentor advised the investor to remain patient and avoid making hasty decisions during market volatility.,1.0,"6.3
",1.0
advise,official,ARG0,The official advised the citizens to stay indoors during the storm.,1.0,Officials advised on the best practices for public health.,1.0,The official advised the president on matters of national security.,1.0,Officials advised the committee on the implications of the new policy.,1.0,The official advised the tourists to avoid certain areas of the city for safety reasons.,1.0,"6.2
",1.0
advise,official,ARG1,The official advised the citizens to stay indoors during the storm.,0.0,Officials advised against traveling to the region due to ongoing conflicts.,1.0,The health official advised wearing masks in crowded places to prevent the spread of the virus.,1.0,The financial official advised investors to diversify their portfolios to mitigate risks.,1.0,The environmental official advised reducing water usage during the drought season.,1.0,"5.9
",0.8
advise,planner,ARG0,The planner advised the committee to consider the environmental impact of the new development.,1.0,"As a seasoned planner, she advised the city council on the best strategies for sustainable urban growth.",1.0,The financial planner advised his client to invest in a diversified portfolio for long-term gains.,1.0,"Before the festival, the planner advised the team on how to manage large crowds safely.",1.0,The wedding planner advised the couple on choosing the right venue that fits their budget and vision.,1.0,"6.3
",1.0
advise,planner,ARG1,The planner advised the committee to consider alternative venues for the annual conference.,1.0,A seasoned planner advised against scheduling the outdoor event during the rainy season.,1.0,The financial planner advised her client to start an emergency fund as soon as possible.,1.0,"Upon reviewing the project proposal, the urban planner advised incorporating more green spaces.",1.0,The wedding planner advised the couple to book their venue at least a year in advance.,1.0,"3.9
",1.0
ask,charity,ARG0,The charity asked for more volunteers to help with the weekend food drive.,1.0,Charity asked the community to support their new shelter project.,1.0,The charity asked local businesses for donations to their annual fundraiser.,1.0,Charity asked the government for a grant to expand their services.,1.0,The charity asked for public feedback on their new program proposal.,1.0,"5.9
",1.0
ask,charity,ARG2,The journalist decided to ask the charity about their new initiative.,1.0,"During the meeting, they will ask the charity for a detailed report of their expenditures.",1.0,Why don't we ask the charity if they need volunteers for the upcoming event?,1.0,The community leader is going to ask the charity how they plan to address the recent crisis.,1.0,Can someone ask the charity what items they need most for the donation drive?,1.0,"5.2
",1.0
ask,congress,ARG0,Congress asked the president for a detailed report on the budget.,1.0,Congress asked the tech giants to testify about data privacy.,1.0,Congress asked the public for their opinion on the new bill.,1.0,Congress asked the Supreme Court to clarify the law's interpretation.,1.0,Congress asked international allies for support in the trade negotiations.,1.0,"5.8
",1.0
ask,congress,ARG2,The journalist asked Congress for a statement on the new legislation.,1.0,Activists asked Congress to consider the environmental impact of their decisions.,1.0,The president asked Congress to pass the bill by the end of the month.,1.0,A group of students asked Congress to increase funding for education.,1.0,The committee asked Congress for clarification on the proposed tax reforms.,1.0,"6.0
",1.0
ask,court,ARG0,The court asked the witness to clarify their statement.,0.75,The court asked the defendant to present their case.,1.0,The court asked for a recess to review the evidence.,0.75,The court asked the jury to deliberate on the verdict.,1.0,The court asked the lawyers to submit their final arguments.,1.0,"6.0
",0.9
ask,court,ARG2,The journalist decided to ask the court for a statement regarding the recent verdict.,1.0,"During the trial, the defense lawyer will ask the court to consider new evidence.",1.0,Activists plan to ask the court to review the case of the imprisoned environmentalist.,0.75,The prosecutor is going to ask the court for a harsher sentence for the convicted felon.,1.0,Residents will ask the court to intervene in the dispute over the new land development project.,1.0,"5.8
",0.95
ask,department,ARG0,The department asked for additional funding to support their research.,1.0,The department asked all students to submit their thesis proposals by the end of the month.,1.0,The department asked the faculty to consider new approaches to remote learning.,1.0,The department asked for feedback on the proposed curriculum changes.,1.0,The department asked the university administration for more office space.,1.0,"4.0
",1.0
ask,department,ARG2,The manager decided to ask the department for a comprehensive report on sales.,1.0,"During the meeting, they will ask the department about their progress on the new project.",1.0,Can you ask the department if they need any additional resources?,1.0,I need to ask the department for their feedback on the proposed changes.,1.0,It's important to ask the department how they plan to address the upcoming challenges.,1.0,"5.2
",1.0
ask,doctor,ARG0,The doctor asked the patient to describe their symptoms in detail.,1.0,"After reviewing the test results, the doctor asked the nurse to prepare the necessary medication.",1.0,"During the conference, the doctor asked a question about the latest research in cardiology.",1.0,The doctor asked the family to consider the treatment options carefully before making a decision.,1.0,"In the clinic, the doctor asked the medical student to observe the procedure for educational purposes.",1.0,"6.5
",1.0
ask,doctor,ARG2,I asked the doctor for advice on my health issue.,1.0,"During the consultation, she asked the doctor about the side effects of the medication.",1.0,He nervously asked the doctor if the surgery was going to be complicated.,1.0,They asked the doctor how long the recovery process would take.,1.0,"After the examination, we asked the doctor for a second opinion.",1.0,"6.7
",1.0
ask,firm,ARG0,The firm asked for an extension on the project deadline.,1.0,"After reviewing the proposal, the firm asked for a few clarifications.",1.0,The firm asked its employees to work from home due to the pandemic.,1.0,"In the meeting, the firm asked about the feasibility of launching a new product line.",1.0,The firm asked the city council for permission to expand their headquarters.,1.0,"5.3
",1.0
ask,firm,ARG2,The journalist decided to ask the firm for an official statement regarding the recent allegations.,1.0,,0.0,The customer decided to ask the firm for a refund after finding defects in the product.,1.0,The investor wanted to ask the firm about their future plans for expansion and growth.,1.0,The employee had to ask the firm for clarification on the new policies being implemented.,0.75,"5.1
",0.75
ask,official,ARG0,The official asked for a detailed report on the project's progress.,1.0,An official asked the community for feedback on the new policy.,1.0,The official asked the team to prepare for the upcoming inspection.,1.0,An official asked the press to respect their privacy during the investigation.,1.0,The official asked the foreign delegates for their support in the negotiation.,1.0,"6.1
",1.0
ask,official,ARG2,The journalist asked the official for a statement on the policy change.,1.0,Citizens asked the official for clarity on the new regulations.,1.0,The committee asked the official to provide detailed reports.,1.0,Parents asked the official for updates on the school safety measures.,1.0,The entrepreneur asked the official for guidance on the new business laws.,1.0,"6.6
",1.0
ask,police,ARG0,The police asked the witness for a detailed account of the event.,1.0,Police asked the local community to remain vigilant.,1.0,The police asked the suspect to explain his whereabouts during the crime.,1.0,Police asked for public assistance in locating the missing child.,1.0,The police asked drivers to avoid the area due to an ongoing investigation.,1.0,"6.5
",1.0
ask,police,ARG2,The journalist asked the police for a statement regarding the incident.,1.0,,0.25,The community leader asked the police how they plan to improve neighborhood safety.,1.0,"At the town hall meeting, a concerned citizen asked the police chief about measures to combat rising crime rates.",0.75,The lawyer asked the police officer to clarify the sequence of events leading to the arrest.,1.0,"6.2
",0.8
ask,prosecutor,ARG0,The prosecutor asked the witness a series of critical questions.,1.0,"During the trial, the prosecutor asked the defendant to clarify his alibi.",1.0,"In the interrogation room, the prosecutor asked the suspect about his whereabouts on the night of the crime.",1.0,The prosecutor asked the jury to consider the evidence carefully before making a decision.,1.0,"After reviewing the case file, the prosecutor asked for a recess to gather more information.",1.0,"6.6
",1.0
ask,prosecutor,ARG2,The judge decided to ask the prosecutor for more evidence.,1.0,"During the trial, the defense attorney will ask the prosecutor to clarify the charges.",1.0,The journalist wanted to ask the prosecutor about the details of the case.,1.0,The witness was nervous to ask the prosecutor if they needed to testify again.,1.0,The community leader planned to ask the prosecutor how they could assist the victims.,1.0,"6.3
",1.0
ask,state,ARG0,The state asked for additional federal funding to support the new infrastructure projects.,1.0,"In response to the crisis, the state asked the federal government for emergency aid.",1.0,The state asked local businesses to comply with the new environmental regulations.,1.0,"During the negotiation, the state asked for more autonomy in managing its resources.",1.0,The state asked its citizens for patience as it worked to resolve the budget deficit.,1.0,"3.8
",1.0
ask,state,ARG2,The journalist asked the state for an official comment on the policy change.,0.75,,0.75,The lawyer asked the state to reconsider its stance on the case.,1.0,Activists asked the state to provide more support for renewable energy initiatives.,1.0,The company asked the state for a tax break to expand its operations.,1.0,"3.8
",0.9
ask,union,ARG0,The union asked for better working conditions.,1.0,The union asked the company for a raise in wages.,1.0,The union asked the government to intervene in the labor dispute.,1.0,The union asked its members to vote on the proposed contract.,1.0,The union asked for more safety measures in the workplace.,1.0,"6.0
",1.0
ask,union,ARG2,The manager decided to ask the union for their official stance on the new work policy.,1.0,"During the meeting, the CEO will ask the union how they plan to address the upcoming changes.",1.0,The journalist wanted to ask the union about their response to the recent allegations.,0.75,The mediator had to ask the union if they were willing to compromise on certain demands.,1.0,The committee will ask the union for their input on the proposed safety regulations.,1.0,"5.3
",0.95
caution,bank,ARG0,The bank cautioned its customers about potential phishing scams.,1.0,"Before the economic downturn, the bank had cautioned investors about possible risks.",1.0,,0.0,"In light of recent frauds, the bank cautioned against sharing personal information online.",1.0,The bank had always cautioned its employees about the importance of data security.,1.0,"4.2
",0.8
caution,bank,ARG2,The manager decided to caution the bank against investing in volatile stocks.,1.0,Authorities will caution the bank about the new regulations on money laundering.,0.75,The consultant will caution the bank regarding the risks of cyber attacks.,1.0,The government decided to caution the bank about the consequences of failing to implement proper security measures.,1.0,Experts often caution the bank on the importance of maintaining customer privacy.,1.0,"2.3
",0.95
caution,developer,ARG0,The developer cautioned the team about potential security vulnerabilities in the code.,1.0,Developers often caution against using deprecated libraries due to security risks.,1.0,"Before the deployment, the lead developer cautioned the team about the importance of thorough testing.",1.0,"In the meeting, the developer cautioned against rushing the release without proper documentation.",1.0,The senior developer cautioned the new hires about overlooking user feedback during the development process.,1.0,"3.8
",1.0
caution,developer,ARG2,The manager decided to caution the developer about the potential security vulnerabilities in the code.,1.0,"During the meeting, the team leader took a moment to caution the developer against rushing the project and compromising on quality.",1.0,The senior programmer had to caution the developer about the importance of adhering to coding standards.,1.0,"After reviewing the project timeline, the project manager felt it necessary to caution the developer about the looming deadlines.",1.0,The mentor found it crucial to caution the developer about the risks of not thoroughly testing their code before deployment.,1.0,"5.0
",1.0
caution,friend,ARG0,My friend cautioned me about the icy roads.,1.0,His friend cautions him against making hasty decisions.,1.0,Her friend cautioned her about the risks of investing in the stock market without proper research.,1.0,Their friend cautioned them about the neighborhood's rising crime rates.,1.0,Your friend cautioned you about the dangers of hiking alone in that area.,1.0,"5.6
",1.0
caution,friend,ARG2,I decided to caution my friend about the risks of investing in volatile stocks.,1.0,"During the hike, she took a moment to caution her friend about the slippery path ahead.",1.0,He felt it was necessary to caution his friend against driving too fast in the rainy weather.,1.0,"Before the trip, I made sure to caution my friend about the importance of staying hydrated in the desert.",1.0,She had to caution her friend about sharing too much personal information online.,1.0,"5.0
",1.0
caution,judges,ARG0,Judges caution against making hasty decisions in complex cases.,1.0,Judges caution the public to respect the court's privacy during sensitive trials.,1.0,Judges caution jurors to avoid media coverage of the case to maintain impartiality.,1.0,Judges caution attorneys about the consequences of misconduct in the courtroom.,1.0,Judges caution witnesses to speak truthfully and to the best of their knowledge.,1.0,"5.4
",1.0
caution,judges,ARG2,The committee decided to caution judges against making hasty decisions.,1.0,Local authorities will caution judges to consider all evidence carefully before ruling.,1.0,The legal association plans to caution judges about the risks of bias in their judgments.,1.0,A recent policy aims to caution judges on the importance of maintaining impartiality.,1.0,Experts often caution judges to stay informed about new laws and regulations.,1.0,"3.7
",1.0
caution,lady,ARG0,The lady cautioned the children about talking to strangers.,1.0,A wise lady always cautions her friends against making hasty decisions.,1.0,The lady cautioned her team to double-check their work for errors.,1.0,"Before the trip, the lady cautioned her family about the dangers of hiking in unknown territories.",1.0,The lady often cautions her neighbors about leaving their doors unlocked at night.,1.0,"5.0
",1.0
caution,lady,ARG2,The officer decided to caution the lady for speeding.,1.0,"After noticing the slippery floor, the store manager decided to caution the lady entering.",1.0,The doctor decided to caution the lady about the side effects of the medication.,1.0,The lifeguard decided to caution the lady about the strong currents before she went swimming.,1.0,The hiking guide decided to caution the lady about the steep and slippery paths ahead.,1.0,"5.0
",1.0
caution,leader,ARG0,The leader cautioned the team against complacency.,1.0,A wise leader always cautions their followers about potential dangers.,1.0,"The leader cautiously approached the negotiation table, warning his allies of the risks.",1.0,"Before the expedition, the leader cautioned everyone about the unpredictable weather.",1.0,The leader often cautions against making hasty decisions in times of crisis.,1.0,"5.9
",1.0
caution,leader,ARG2,The general cautioned the leader about the impending attack.,1.0,,0.25,The diplomat cautioned the leader against making hasty decisions.,1.0,The mentor cautioned the leader about the dangers of arrogance.,1.0,The envoy cautioned the leader to consider the peace treaty carefully.,1.0,"5.0
",0.85
caution,police,ARG0,The police caution the pedestrians near the construction site.,1.0,Police caution drivers to slow down in bad weather.,1.0,The police caution tourists about pickpockets in crowded areas.,1.0,Police caution residents to lock their doors at night.,1.0,The police caution the public against sharing personal information online.,1.0,"6.6
",1.0
caution,police,ARG2,The mayor decided to caution the police about using excessive force during protests.,1.0,"After the incident, the community leaders held a meeting to caution the police against racial profiling.",1.0,The new regulations were introduced to caution the police on the importance of body cameras.,1.0,Human rights organizations came together to caution the police about respecting citizens' rights during arrests.,1.0,The legal advisor had to caution the police on adhering strictly to the law when conducting searches.,1.0,"2.2
",1.0
caution,professional,ARG0,The professionals cautioned their clients against making hasty investments.,1.0,Professionals caution newcomers about the pitfalls of the industry.,1.0,The professional cautioned the team about the upcoming challenges.,1.0,Professionals often caution against complacency in a rapidly changing market.,1.0,The professional cautioned her peers about the importance of continuous learning.,1.0,"5.0
",1.0
caution,professional,ARG2,The manager decided to caution the professional about the upcoming changes in the company policy.,1.0,"During the meeting, the team leader took a moment to caution the professional against making hasty decisions.",1.0,The mentor had to caution the professional about the risks involved in the new project.,1.0,"After reviewing the report, the consultant felt it necessary to caution the professional about potential errors.",1.0,The coach used the halftime break to caution the professional about the opponent's strategy.,1.0,"5.1
",1.0
caution,rain,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"1.2
",0.0
caution,rain,ARG2,,0.75,,0.75,,0.75,,0.75,,0.75,"1.3
",0.75
caution,trader,ARG0,The trader cautioned his colleagues about the volatile market.,1.0,A seasoned trader always cautions against making hasty decisions based on rumors.,1.0,"Before the market opened, the trader cautioned her team about potential risks.",1.0,The trader cautioned investors about the possibility of a sudden downturn.,1.0,"In the meeting, the trader cautioned about the importance of diversifying investments.",1.0,"3.2
",1.0
caution,trader,ARG2,The manager decided to caution the trader about the volatile market conditions.,1.0,"After reviewing the financial reports, the senior analyst felt it necessary to caution the trader against making hasty investments.",1.0,"Due to the unpredictable nature of the stock market, it's wise to caution the trader on the risks involved with speculative trading.",1.0,The compliance officer had to caution the trader about adhering strictly to the new regulations to avoid legal issues.,1.0,"In the team meeting, the lead strategist took a moment to caution the trader about overreliance on algorithmic trading systems.",1.0,"5.1
",1.0
caution,user,ARG0,The user cautioned others about the potential risks of the software update.,1.0,Users often caution each other in forums about potential scams.,1.0,The user cautioned her friend against sharing too much personal information online.,1.0,,0.0,The experienced user cautioned newcomers about common pitfalls in the application.,1.0,"3.8
",0.8
caution,user,ARG2,The software displays a message to caution the user against potential data loss.,1.0,Please caution the user about the risks of not updating their antivirus software regularly.,1.0,The manual includes a section to caution the user about the proper handling of the equipment.,1.0,"We need to caution the user before they proceed with the factory reset, as it will erase all data.",1.0,The system is designed to caution the user when they are about to enter a restricted area.,1.0,"5.4
",1.0
caution,woman,ARG0,The woman cautioned her children about talking to strangers.,1.0,A woman cautioned her friend against making hasty decisions.,1.0,"The woman cautiously approached the situation, warning others of potential risks.",1.0,"She, a woman of experience, cautioned the team about the challenges ahead.",1.0,The woman cautioned the community about the impending storm.,1.0,"5.7
",1.0
caution,woman,ARG2,The officer decided to caution the woman for speeding.,1.0,"After the incident, they had to caution the woman about walking alone at night.",1.0,The doctor had to caution the woman about the side effects of the medication.,1.0,The lawyer decided it was best to caution the woman about the implications of her statement.,1.0,The teacher needed to caution the woman about her child's disruptive behavior in class.,1.0,"5.7
",1.0
confuse,baby,ARG0,,0.75,"In the new environment, the baby confuses night and day, disrupting her sleep pattern.",1.0,"The baby confuses the cat's tail for a toy, much to the cat's dismay.",1.0,"With his limited vocabulary, the baby confuses words for similar sounding ones.",1.0,The baby confuses his reflection in the mirror for another child.,1.0,"3.7
",0.95
confuse,baby,ARG1,"Loud noises often confuse the baby, making it difficult for her to fall asleep.",1.0,"The sudden change in routine seemed to confuse the baby, leading to more frequent crying spells.",1.0,"Bright lights can sometimes confuse the baby, causing him to squint or turn away.",1.0,"Trying to feed the baby with a new type of bottle appeared to confuse her, resulting in a refusal to eat.",1.0,"The presence of too many strangers can easily confuse the baby, making him feel uneasy and anxious.",1.0,"6.0
",1.0
confuse,boatman,ARG0,The boatman confuses the tourists with his complicated navigation instructions.,1.0,"Every morning, the boatman confuses the fish with his erratic rowing patterns.",1.0,,0.75,"In his tales, the boatman confuses reality with myths of the sea.",1.0,The boatman confuses the birds by mimicking their calls perfectly.,1.0,"2.1
",0.95
confuse,boatman,ARG1,"The complex map confused the boatman, making him unsure of the correct route.",1.0,"The sudden storm confused the boatman, causing him to lose his sense of direction.",1.0,The boatman was confused by the conflicting instructions given by the tourists.,1.0,The new navigation system was so complicated that it confused the boatman.,1.0,The boatman got confused when the landmarks he relied on were not visible due to the fog.,1.0,"3.2
",1.0
confuse,comment,ARG0,,0.25,,0.25,,0.25,His comment confused the issue instead of clarifying it.,1.0,,0.25,"5.8
",0.4
confuse,comment,ARG1,"The comment confused the audience, leaving them unsure of the speaker's intent.",0.25,"Her comment confused the issue further, making it difficult to find a resolution.",1.0,That comment confused me; I couldn't follow his line of reasoning afterward.,1.0,"The teacher's comment confused the students, leading to a misunderstanding of the concept.",1.0,"His comment confused the debate, diverting attention from the main argument.",0.25,"1.5
",0.7
confuse,community,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"3.5
",0.0
confuse,community,ARG1,The new zoning laws confuse the community.,1.0,Complex legal jargon tends to confuse the community.,1.0,The sudden change in leadership has begun to confuse the community.,1.0,Misinformation on social media can easily confuse the community.,1.0,The introduction of new technology often serves to confuse the community.,1.0,"4.9
",1.0
confuse,computer,ARG0,,0.25,,0.25,,0.25,,0.25,The computer confused the students by displaying incorrect information.,0.75,"5.4
",0.35
confuse,computer,ARG1,,0.25,,0.25,,0.25,,0.25,,0.25,"4.1
",0.25
confuse,condition,ARG0,,0.0,"This condition confuses the diagnostic process, leading to delays in treatment.",1.0,,0.0,"The condition confuses the line between psychological and physical symptoms, challenging traditional medical approaches.",0.75,"That condition confuses the standard protocols, necessitating a more tailored approach to care.",1.0,"4.6
",0.55
confuse,condition,ARG1,The condition confuses the doctors due to its unusual symptoms.,0.0,"This condition confuses the diagnosis process, making treatment more difficult.",1.0,"A rare condition confuses the standard medical protocols, requiring innovative approaches.",1.0,"The condition confuses patients, leaving them uncertain about their health status.",0.0,"Such a condition confuses even the most experienced specialists, challenging their expertise.",1.0,"2.5
",0.6
confuse,equipment,ARG0,,0.0,This equipment confuses the line between virtual reality and the real world.,0.75,,0.0,,0.0,,0.0,"4.9
",0.15
confuse,equipment,ARG1,,0.0,,0.0,,0.0,Inconsistent power supply tends to confuse the equipment.,0.75,Overlapping control signals might confuse the equipment.,1.0,"1.4
",0.35
confuse,insistence,ARG0,,0.25,,0.25,,0.25,,0.25,,0.25,"4.2
",0.25
confuse,insistence,ARG1,,0.0,,0.0,,0.0,,0.0,,0.0,"1.4
",0.0
confuse,sense,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"4.0
",0.0
confuse,sense,ARG1,,0.75,Abstract art can often confuse one's sense of perspective.,0.75,The magician's trick was designed to confuse the audience's sense of reality.,0.75,,0.75,The dense fog did confuse my sense of location.,0.75,"3.8
",0.75
confuse,shareholder,ARG0,The shareholders confused the market analysts with their unexpected decision.,1.0,,0.25,,0.25,The shareholders confused the company's CEO with their sudden demand for a change in leadership.,1.0,Shareholders often confuse new investors with their complex strategies and unpredictable moves.,1.0,"3.3
",0.7
confuse,shareholder,ARG1,The complex financial report confused the shareholders.,1.0,Rumors about the merger confused the shareholders.,1.0,The CEO's vague statement confused the shareholders.,1.0,The sudden drop in stock prices confused the shareholders.,1.0,The change in company policy confused the shareholders.,1.0,"5.0
",1.0
confuse,situation,ARG0,,0.25,,0.25,,0.25,,0.25,,0.25,"6.0
",0.25
confuse,situation,ARG1,The situation confused everyone who tried to understand it.,1.0,This situation confused the experts for weeks.,0.25,"That situation confused the tourists, making navigation difficult.",0.0,A complex situation confused the new manager on her first day.,0.0,"The unexpected situation confused the team, delaying their project.",0.0,"5.1
",0.25
confuse,statement,ARG0,,0.25,,0.25,,0.25,,0.25,,0.25,"6.0
",0.25
confuse,statement,ARG1,The statement confused the audience with its complex terminology.,1.0,Her statement confused the issue rather than clarifying it.,0.75,That statement confused me; can you explain it again?,1.0,"The lawyer's statement confused the jury, leading to further questions.",0.25,"His statement confused the debate, introducing unrelated facts.",0.25,"2.5
",0.65
eat,apple,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"1.0
",0.0
eat,apple,ARG1,The apple was eaten by a hungry child.,1.0,An apple gets eaten by someone every morning in our house.,1.0,The apple was quickly eaten by the teacher during the break.,1.0,An apple was eaten by the athlete for an energy boost.,1.0,"The apple, being ripe and juicy, was eagerly eaten by the tourist.",1.0,"6.5
",1.0
eat,cost,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"1.0
",0.0
eat,cost,ARG1,The cost eats into our savings significantly.,0.75,This project's cost eats away at our budget for the year.,0.75,,0.0,,0.0,The rising cost of materials eats away at the small business's viability.,0.75,"1.8
",0.45
eat,debt,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"1.3
",0.0
eat,debt,ARG1,"In a metaphorical sense, the company began to eat its debt by slowly paying it off.",0.75,The new financial strategy allowed them to eat away at the debt more aggressively than before.,1.0,"With the latest round of investments, they could finally start eating into their massive debt.",0.75,,0.0,"By restructuring their loans, they were effectively eating their debt, making it manageable.",0.75,"1.4
",0.65
eat,egg,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,"1.0
",0.0
