predicate,argument,role_type,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
accuse,prosecutor,ARG0,The prosecutor accused the defendant of perjury during the trial.,1.0,"In the high-profile case, the prosecutor accused the celebrity of obstruction of justice.",1.0,"During the press conference, the prosecutor accused the corporation of widespread fraud.",1.0,"The prosecutor accused the mayor of corruption, sparking a major investigation.",1.0,"After months of investigation, the prosecutor accused the gang leader of racketeering.",1.0,6.8,1.0
accuse,prosecutor,ARG1,The prosecutor accuses the defendant of fraud in the high-profile case.,1.0,"In the courtroom, the prosecutor accuses the suspect of tampering with evidence.",1.0,"During the trial, the prosecutor accuses the witness of lying under oath.",1.0,The prosecutor accuses the company of violating environmental laws.,1.0,The prosecutor accuses the mayor of corruption and misuse of public funds.,1.0,2.6,1.0
accuse,suspect,ARG0,The suspect accused the witness of lying.,1.0,Suspects often accuse each other to deflect blame.,1.0,The suspect accused the police of harassment.,1.0,"In a surprising twist, the suspect accused his own lawyer of incompetence.",1.0,The suspect accused the media of bias and sensationalism.,1.0,3.3,1.0
accuse,suspect,ARG1,The police accuse the suspect of the crime.,1.0,Investigators accuse the suspect of lying during the interrogation.,1.0,The community will likely accuse the suspect of causing unrest.,1.0,Authorities accuse the suspect of escaping from custody.,1.0,The prosecutor may accuse the suspect of tampering with evidence.,1.0,6.8,1.0
accuse,witness,ARG0,The witness accused the defendant of lying under oath.,1.0,"In a surprising turn of events, the witness accused the police officer of tampering with evidence.",1.0,"During the trial, the witness accused the company of negligence leading to the accident.",1.0,The witness accused her neighbor of stealing her mail in front of the community watch.,1.0,"After careful consideration, the witness accused the celebrity of making false statements to the press.",1.0,6.4,1.0
accuse,witness,ARG1,The witness accuses the defendant of lying under oath.,1.0,"In the courtroom, the witness accuses the suspect of tampering with evidence.",1.0,"During the investigation, the witness accuses the neighbor of hiding crucial information.",1.0,The witness accuses the company of environmental violations in the public hearing.,1.0,"At the press conference, the witness accuses the politician of corruption and misuse of power.",1.0,3.2,1.0
admire,actress,ARG0,,0.2,,0.2,,0.2,,0.2,,0.2,4.6,0.2
admire,actress,ARG1,Many fans admire the actress for her outstanding performances.,1.0,Critics admire the actress for her versatility in roles.,1.0,Young girls admire the actress for her style and grace.,1.0,The director admires the actress for her dedication to the craft.,1.0,Audiences worldwide admire the actress for her ability to evoke emotion.,1.0,6.4,1.0
admire,athlete,ARG0,The athlete admires the dedication of her coach.,1.0,Many athletes admire the perseverance it takes to overcome injuries.,1.0,Young athletes admire the legends of their sport for setting high standards.,1.0,The athlete admires the teamwork displayed by her teammates.,1.0,Athletes often admire the discipline required to maintain peak physical condition.,1.0,4.8,1.0
admire,athlete,ARG1,Many fans admire the athlete for his dedication and hard work.,1.0,"The young athlete, who had overcome numerous obstacles, was admired by the entire community.",1.0,Journalists around the world admire the athlete's commitment to excellence.,1.0,Children everywhere admire the athlete as a role model and hero.,1.0,Coaches and teammates admire the athlete's leadership and sportsmanship on and off the field.,1.0,6.4,1.0
admire,disciple,ARG0,The disciple admires the master's unwavering dedication to the craft.,1.0,Disciples admire their mentors for the wisdom and guidance they provide.,1.0,A disciple admires the patience and skill of their teacher in imparting knowledge.,1.0,Disciples often admire the way their leaders navigate challenges with grace and intelligence.,1.0,The disciple admires the profound understanding and insight their guru demonstrates in spiritual matters.,1.0,5.6,1.0
admire,disciple,ARG1,The disciple admires the master's unwavering dedication to the craft.,1.0,A disciple admires their mentor's ability to solve complex problems with ease.,1.0,Every disciple admires the patience and wisdom their teacher exhibits.,1.0,Disciples admire the way their leader handles challenges with grace.,1.0,The disciple admires the profound knowledge and skill of their guide.,1.0,4.1,1.0
admire,fan,ARG0,Fans admire their favorite athletes for their dedication and hard work.,1.0,The fan admired the artist's ability to convey deep emotions through music.,1.0,Fans admire the writer for her intricate storytelling and complex characters.,1.0,The fan admired the chef's innovative approach to traditional dishes.,1.0,Fans admire the director for his unique vision and groundbreaking films.,1.0,6.8,1.0
admire,fan,ARG1,Fans admire their favorite athletes for their dedication and hard work.,1.0,The fan admired the artist's ability to convey deep emotions through music.,1.0,Fans admire the writer for her unique storytelling and imaginative worlds.,1.0,The fan admired the actor's versatility and commitment to each role.,1.0,Fans admire the chef's innovative recipes and dedication to sustainable cooking.,1.0,1.7,1.0
admire,groupie,ARG0,The groupie admires the rock band for their incredible talent and energy on stage.,1.0,"A groupie admires her favorite singer, never missing a chance to attend his concerts.",1.0,"Groupies admire the guitarist's skill, often gathering backstage to express their admiration.",1.0,"This groupie admires the drummer's dedication, always following the band's tour across the country.",1.0,"Groupies admire the charisma and stage presence of the lead vocalist, always cheering the loudest at concerts.",1.0,6.9,1.0
admire,groupie,ARG1,The groupie admires the rock band for their incredible talent and dedication.,1.0,"A groupie admires her favorite singer, never missing a concert or opportunity to support them.",1.0,Every groupie admires the charisma and stage presence of their musical idols.,1.0,"That groupie admires the guitarist so much, she has all their albums and follows them on every social media platform.",1.0,"A groupie admires the drummer's skill, often standing front row at concerts to watch them play.",1.0,1.9,1.0
adopt,baby,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.4,0.1
adopt,baby,ARG1,The couple decided to adopt a baby to complete their family.,1.0,"After years of consideration, they finally chose to adopt a baby.",1.0,"To adopt a baby was their lifelong dream, and it finally came true.",1.0,"They went through the process to adopt a baby, feeling a mix of excitement and nervousness.",1.0,Adopting a baby brought immense joy and a sense of fulfillment to their lives.,1.0,6.4,1.0
adopt,child,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2,0.0
adopt,child,ARG1,The couple decided to adopt a child to expand their family.,1.0,"After years of consideration, they finally chose to adopt a child from the orphanage.",1.0,"To adopt a child was always their dream, and now it was becoming a reality.",1.0,"They went through a rigorous process to adopt a child, ensuring they were prepared for the responsibility.",1.0,Adopting a child brought immense joy and fulfillment to their lives.,1.0,6.2,1.0
adopt,committee,ARG0,The committee adopted a new policy to improve transparency.,1.0,The committee adopted the recommendations from the subcommittee without any modifications.,1.0,The committee adopted a more aggressive stance on environmental issues.,1.0,The committee adopted the proposed budget after hours of deliberation.,1.0,The committee adopted a resolution to support community health initiatives.,1.0,5.5,1.0
adopt,committee,ARG1,The committee adopted a new policy to improve workplace diversity.,1.0,"After much deliberation, the committee adopted the proposed budget for the next fiscal year.",1.0,The committee adopted a resolution to support renewable energy initiatives.,1.0,"In response to public demand, the committee adopted stricter safety regulations.",1.0,The committee adopted innovative strategies to enhance community engagement.,1.0,3.3,1.0
adopt,couple,ARG0,The couple decided to adopt a child from the orphanage.,1.0,"After years of consideration, the couple finally chose to adopt a puppy from the local shelter.",1.0,"The couple, unable to conceive, opted to adopt twins who had been in foster care.",1.0,"Determined to expand their family, the couple went through the process to adopt a baby girl.",1.0,"The couple, passionate about helping children in need, made the decision to adopt a sibling group to keep them together.",1.0,5.9,1.0
adopt,couple,ARG1,The couple decided to adopt a child from the local orphanage.,1.0,"After years of consideration, the couple finally agreed to adopt a puppy from the animal shelter.",1.0,The couple chose to adopt a new lifestyle that focused on sustainability and minimalism.,1.0,"Following their move to the countryside, the couple opted to adopt two kittens to keep the mice at bay.",1.0,"The couple, passionate about art, decided to adopt a more modern aesthetic for their home renovation.",1.0,1.6,1.0
adopt,policy,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2.1,0.0
adopt,policy,ARG1,The government decided to adopt a new environmental policy.,1.0,Many companies are starting to adopt a remote work policy.,1.0,The school board will adopt a policy to improve student safety.,1.0,"To combat climate change, the city council voted to adopt a green energy policy.",1.0,The organization agreed to adopt a policy of inclusivity to ensure equal opportunities for all.,1.0,6,1.0
applaud,actress,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,2.9,0.1
applaud,actress,ARG1,The audience applauded the actress for her stunning performance.,1.0,Critics everywhere applaud the actress for her versatility in roles.,1.0,"After the final scene, everyone in the theater stood up to applaud the actress.",1.0,The director decided to publicly applaud the actress for her dedication to the character.,1.0,Fans gathered outside the stage door to applaud the actress as she exited the building.,1.0,6.5,1.0
applaud,critic,ARG0,The critics applauded the groundbreaking performance with enthusiasm.,1.0,"After the show, the critic applauded the director for her innovative vision.",1.0,"Throughout the premiere, critics applauded each scene, visibly moved by the powerful storytelling.",1.0,"The critic applauded loudly, leading the standing ovation for the breathtaking performance.",1.0,Critics around the world applauded the movie for its bold narrative and compelling characters.,1.0,5,1.0
applaud,critic,ARG1,The critic applauded the stunning performance of the lead actor.,1.0,"After the show, the critic applauded the innovative direction and bold choices.",1.0,The critic applauded the playwright's ability to weave complex narratives seamlessly.,1.0,"In her review, the critic applauded the ensemble's chemistry and dynamic stage presence.",1.0,The critic applauded the set designer's attention to detail and the immersive atmosphere created on stage.,1.0,1.5,1.0
applaud,director,ARG0,,0.2,,0.2,,0.2,,0.2,,0.2,4.8,0.2
applaud,director,ARG1,The audience applauded the director for her groundbreaking work.,1.0,"After the premiere, critics everywhere applauded the director for his innovative storytelling.",1.0,,1.0,Film enthusiasts applauded the director for pushing the boundaries of cinema.,1.0,"At the award ceremony, the jury applauded the director for his contribution to the film industry.",1.0,4.5,1.0
applaud,musician,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,2.9,0.1
applaud,musician,ARG1,The audience applauded the musician for her breathtaking performance.,1.0,"After the concert, everyone stood up to applaud the musician.",1.0,Critics around the world applaud the musician for her innovative compositions.,1.0,"The musician was applauded as she took the stage, ready to dazzle the crowd.",1.0,,0.2,6.8,0.84
applaud,performance,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2,0.0
applaud,performance,ARG1,The audience applauded the performance enthusiastically.,1.0,Critics around the world applauded the performance for its originality.,1.0,"After the final act, everyone stood up to applaud the performance.",1.0,"She quietly applauded the performance, deeply moved by its intensity.",1.0,They had never seen anything like it and applauded the performance for minutes on end.,1.0,6.7,1.0
approve,candidate,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,4,0.0
approve,candidate,ARG1,The committee will approve the candidate after the final interview.,1.0,Our manager didn't approve the candidate due to lack of experience.,1.0,They hope to approve the candidate by the end of the week.,1.0,Did the board approve the candidate for the new project?,1.0,The university must approve the candidate before offering the scholarship.,1.0,4.8,1.0
approve,committee,ARG0,The committee approved the new policy after much deliberation.,1.0,"After reviewing the proposal, the committee approved the budget increase.",1.0,"The committee approved the research grant, enabling the project to move forward.",1.0,"Following a thorough evaluation, the committee approved the appointment of the new director.",1.0,"The committee approved the conference schedule, finalizing the event's program.",1.0,6.2,1.0
approve,committee,ARG1,The committee approved the new policy after extensive discussions.,1.0,"After careful consideration, the committee approved the budget for the next fiscal year.",1.0,"The committee approved the research proposal, allowing the project to move forward.",1.0,"In their last meeting, the committee approved the appointment of the new director.",1.0,"The committee approved the plans for the annual conference, setting the dates and key speakers.",1.0,3.8,1.0
approve,contractor,ARG0,The contractor approved the final blueprints for the construction project.,1.0,"After thorough evaluation, the contractor approved the new safety protocols.",1.0,The contractor approved the budget increase after reviewing the unexpected costs.,1.0,"Upon inspection, the contractor approved the use of the innovative materials.",1.0,The contractor approved the team's request for additional training on the new equipment.,1.0,5.7,1.0
approve,contractor,ARG1,The board quickly approved the contractor for the new building project.,1.0,"After thorough review, the city council approved the contractor for the urban redevelopment plan.",1.0,The homeowners' association finally approved the contractor for the community center renovation.,1.0,"Due to his excellent reputation, the committee unanimously approved the contractor for the upcoming infrastructure upgrade.",1.0,The project manager approved the contractor after verifying all the necessary certifications and references.,1.0,3.6,1.0
approve,plan,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.8,0.0
approve,plan,ARG1,The committee will approve the plan next week.,1.0,Management did not approve the plan due to budget constraints.,1.0,The city council must approve the plan before construction begins.,1.0,"After much deliberation, the board finally approved the plan.",1.0,The government has yet to approve the plan for the new highway.,1.0,5.3,1.0
approve,policy,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,2.3,0.0
approve,policy,ARG1,The government will likely approve the new environmental policy.,1.0,The board must approve the policy before it can be implemented.,1.0,Did the committee approve the policy on workplace safety?,1.0,"They didn't approve the policy, citing several concerns.",1.0,"To everyone's surprise, the president did approve the controversial policy.",1.0,5.2,1.0
arrest,cop,ARG0,The cop arrested the suspect after a lengthy chase.,1.0,A cop arrested the thief who had been terrorizing the neighborhood.,1.0,"In the early morning, the cop arrested the drunk driver before any accidents could occur.",1.0,"The undercover cop arrested the leader of the drug ring, bringing an end to months of investigation.",1.0,"After the riot, the cop arrested the instigator for inciting violence.",1.0,6.7,1.0
arrest,cop,ARG1,The cop arrested the suspect after a lengthy chase.,1.0,"In the early morning, the cop arrested the burglar who had broken into several homes.",1.0,"Following the bank robbery, the cop arrested the two main suspects hiding in a nearby motel.",1.0,"After the concert, the cop arrested an individual for selling illegal merchandise.",1.0,The cop arrested the driver for DUI after failing the breathalyzer test.,1.0,1.6,1.0
arrest,corporal,ARG0,The corporal arrested the suspect after a lengthy chase.,1.0,Corporal Smith arrested the thief who had been terrorizing the neighborhood.,1.0,"In the early morning, the corporal arrested the vandal caught defacing public property.",1.0,The corporal arrested the driver for DUI after failing the sobriety test.,1.0,"After gathering sufficient evidence, the corporal arrested the leader of the smuggling ring.",1.0,5,1.0
arrest,corporal,ARG1,The corporal was arrested for disobeying direct orders.,1.0,"After the investigation, the corporal was arrested for espionage.",1.0,"Due to misconduct, the corporal found himself being arrested by military police.",1.0,The corporal was arrested after the stolen goods were found in his locker.,1.0,"Following the riot, the corporal was arrested for inciting violence among the troops.",1.0,1.5,1.0
arrest,crook,ARG0,,0.0,,0.0,,0.0,,0.0,,0.0,1.2,0.0
arrest,crook,ARG1,The police arrest the crook after a long chase.,1.0,Detectives managed to arrest the crook hiding in the abandoned warehouse.,1.0,Undercover agents finally arrest the crook involved in the smuggling ring.,1.0,Authorities arrest the crook responsible for the recent bank heists.,1.0,"After months of investigation, the FBI arrest the crook leading the cybercrime network.",1.0,5.9,1.0
arrest,guard,ARG0,The guard arrested the intruder who was trying to break into the museum.,1.0,"After witnessing a theft, the guard arrested the suspect on the spot.",1.0,The guard arrested the vandal for defacing public property.,1.0,"During the riot, the guard arrested several agitators who were causing harm.",1.0,The guard arrested the shoplifter who had stolen several items from the store.,1.0,5,1.0
arrest,guard,ARG1,The guard arrested the intruder who was trying to break into the museum.,1.0,"After witnessing a theft, the guard arrested the suspect on the spot.",1.0,The guard arrested the vandal for defacing public property.,1.0,"In the act of shoplifting, the guard arrested the teenager before they could escape.",1.0,The guard arrested the person for causing a disturbance at the event.,1.0,1.6,1.0
arrest,police,ARG0,The police arrested the suspect after a lengthy investigation.,1.0,Police arrested the thief who had been terrorizing the neighborhood.,1.0,"After the riot, police arrested several individuals for vandalism.",1.0,The police arrested the driver for driving under the influence.,1.0,Police arrested the fraudster who had been scamming elderly people.,1.0,6.4,1.0
arrest,police,ARG1,The police arrest the suspect after a high-speed chase.,1.0,,1.0,,1.0,"During the protest, the police arrest several individuals for inciting violence.",1.0,"After receiving an anonymous tip, the police arrest a notorious drug dealer in the neighborhood.",1.0,1.5,1.0
arrest,suspect,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.4,0.1
arrest,suspect,ARG1,The police finally managed to arrest the suspect after a lengthy investigation.,1.0,"After hours of surveillance, detectives were able to arrest the suspect in the early hours of the morning.",1.0,Authorities have been working tirelessly to arrest the suspect involved in the recent bank robbery.,1.0,"In a dramatic turn of events, the suspect was arrested by undercover officers at the airport.",1.0,"Following a tip-off from an informant, the task force moved quickly to arrest the suspect before he could flee the city.",1.0,5.5,1.0
assist,employee,ARG0,The employee assisted her colleague with the project presentation.,1.0,An employee assisted the customer in finding the right product.,1.0,The employee assisted in organizing the stock room efficiently.,1.0,"Every morning, the employee assisted with opening the store.",1.0,The employee assisted the manager in preparing the annual report.,1.0,6,1.0
assist,employee,ARG1,The employee assisted the manager with the annual report.,1.0,An employee assisted a customer who was looking for a specific product.,1.0,"During the conference, the employee assisted the speaker with technical difficulties.",1.0,The employee assisted in organizing the stock room for better efficiency.,1.0,"After the workshop, the employee assisted participants with their questions.",1.0,5.3,1.0
assist,grandmother,ARG0,My grandmother always assists her neighbors with their gardening.,1.0,The grandmother assisted the children in baking cookies for the school sale.,1.0,A kind grandmother assisted a lost tourist with directions to the city center.,1.0,Her grandmother assisted in organizing the community charity event last summer.,1.0,The grandmother assisted her granddaughter in choosing the perfect wedding dress.,1.0,6,1.0
assist,grandmother,ARG1,The nurse will assist the grandmother with her daily exercises.,1.0,Can you assist the grandmother in crossing the street safely?,1.0,I saw a young boy assist the grandmother with her groceries.,1.0,The community center offers programs to assist the grandmother with her social needs.,1.0,A kind neighbor came over to assist the grandmother with setting up her new phone.,1.0,6.1,1.0
assist,host,ARG0,The host assists the guests with their luggage.,1.0,The host assists in organizing the event to ensure everything runs smoothly.,1.0,The host assists visitors in finding their seats at the venue.,1.0,The host assists in answering questions about the schedule of the conference.,1.0,The host assists with the setup of the presentation equipment.,1.0,6.1,1.0
assist,host,ARG1,The host assists the guests with their luggage.,1.0,The host assists in organizing the event to ensure everything runs smoothly.,1.0,The host assists visitors in finding their seats at the venue.,1.0,The host assists with answering questions about the schedule.,1.0,The host assists in setting up the stage for the performance.,1.0,3.4,1.0
assist,moron,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.7,0.1
assist,moron,ARG1,"The tutor decided to assist the moron with his homework, showing remarkable patience.",1.0,"Despite the challenges, the team leader chose to assist the moron in understanding the project's goals.",1.0,The software was designed to assist the moron in navigating the complex interface more easily.,1.0,The community program was set up to assist the moron in gaining essential life skills.,0.9,The therapist was committed to assist the moron in improving his social interactions.,1.0,3.4,0.98
attack,boxer,ARG0,The boxer attacked his opponent with a swift uppercut.,1.0,"In the ring, the boxer attacked relentlessly, seeking to wear down his adversary.",1.0,"During the match, the boxer attacked with a series of powerful jabs and hooks.",1.0,"The boxer attacked from the opening bell, dominating the fight with aggressive tactics.",1.0,"With a strategy to overwhelm, the boxer attacked, combining speed and precision in his strikes.",1.0,6.4,1.0
attack,boxer,ARG1,The boxer attacked his opponent with a swift uppercut.,1.0,"In the ring, the boxer attacked relentlessly, seeking to wear down his adversary.",1.0,"During the match, the boxer attacked with a series of powerful jabs and hooks.",1.0,"The boxer attacked from the opening bell, dominating the fight with aggressive tactics.",1.0,"With a strategy to overwhelm, the boxer attacked, combining speed and precision in his strikes.",1.0,6.1,1.0
attack,fort,ARG0,,0.1,,0.1,,0.1,,0.1,,0.1,1.6,0.1
attack,fort,ARG1,The army decided to attack the fort at dawn.,1.0,Pirates planned to attack the fort to steal the treasure.,1.0,"During the war, rebels frequently attempted to attack the fort.",1.0,The general ordered his troops to attack the fort immediately.,1.0,"In the simulation, the enemy forces will attack the fort to test our defenses.",1.0,6,1.0
attack,infantry,ARG0,The infantry attacked the enemy stronghold at dawn.,1.0,Infantry units attacked the opposing forces to regain control of the bridge.,1.0,"During the night, the infantry attacked to disrupt the enemy's supply lines.",1.0,"In a surprise maneuver, the infantry attacked the enemy camp, causing chaos.",1.0,"The infantry attacked the fortifications, using heavy artillery to support their advance.",1.0,5.6,1.0
attack,infantry,ARG1,The infantry attacked the enemy stronghold at dawn.,1.0,"During the battle, the infantry attacked with unparalleled bravery.",1.0,"Under the cover of night, the infantry attacked the opposing forces' camp.",1.0,"The infantry attacked the hill, taking control after a fierce fight.",1.0,"In a surprise maneuver, the infantry attacked the convoy, disrupting the supply line.",1.0,5.7,1.0
attack,opinion,ARG0,,0.0,Her opinion attacked the outdated norms still prevalent in society.,0.8,His opinion attacked the company's policy on environmental sustainability.,0.7,Their opinion attacked the proposed solution as being overly simplistic.,0.8,,0.0,3.2,0.46
attack,opinion,ARG1,The politician's speech attacked the prevailing opinion on climate change.,1.0,Her thesis attacked the traditional opinion on gender roles in society.,0.9,The editorial attacked the popular opinion that economic growth solves all problems.,1.0,His argument attacked the common opinion about the effectiveness of the new policy.,1.0,The documentary attacked the widespread opinion on the safety of nuclear energy.,1.0,6.5,0.98
attack,pacifist,ARG0,The pacifist launched a verbal attack against the policy.,1.0,"In a surprising turn of events, the pacifist attacked the argument with logical fallacies.",0.8,"Despite their peaceful beliefs, the pacifist attacked the legislation with fierce criticism.",1.0,The pacifist attacked the notion of violence in a passionate speech.,1.0,"Unexpectedly, the pacifist attacked the debate with a well-crafted counterargument.",1.0,1.9,0.96
attack,pacifist,ARG1,The pacifist was attacked for his beliefs.,1.0,A pacifist was unexpectedly attacked during the protest.,1.0,,0.1,The pacifist found himself being attacked after the debate.,1.0,A group of pacifists were attacked while promoting peace in the city square.,1.0,3.4,0.82
attack,troops,ARG0,The troops attacked the enemy stronghold at dawn.,1.0,Troops launched a surprise attack on the rebel positions overnight.,1.0,"In a coordinated effort, the troops attacked the strategic locations held by the insurgents.",1.0,"Under the cover of darkness, the troops attacked, catching the opposing forces off guard.",1.0,"The troops attacked the fortified positions, initiating a fierce battle.",1.0,6.6,1.0
attack,troops,ARG1,The troops attacked the enemy stronghold at dawn.,1.0,Troops attacked the rebel positions under the cover of night.,1.0,"In a surprise move, the troops attacked the fortified city, breaching its defenses.",1.0,"Without warning, troops attacked the convoy, causing chaos.",1.0,"Troops attacked the pirate base, liberating the hostages.",1.0,6.2,1.0
audit,accountant,ARG0,The accountant audited the company's financial statements meticulously.,1.0,An experienced accountant audited the nonprofit organization to ensure compliance.,1.0,The accountant audited the small business's books to find discrepancies.,1.0,"Upon suspicion of fraud, the accountant audited the firm's accounts thoroughly.",1.0,The accountant audited the tax records to prepare for the upcoming audit season.,1.0,6,1.0
