predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
gamble,airport,He decided to gamble at the casino located inside the airport.,0.9,They found a place to gamble right next to their departure gate at the airport.,0.9,"While waiting for their flight, many passengers chose to gamble at the airport's gaming lounge.",0.9,The airport had recently opened a new section where travelers could gamble before boarding.,1.0,"Despite the rush, she couldn't resist stopping to gamble at the airport's slot machines.",1.0,1.8,0.94
gamble,arena,"They decided to gamble in the bustling arena, where the energy was palpable.",1.0,The arena was known as a place where high-stakes gamblers gathered to test their luck.,1.0,"In the heart of the city, the arena served as a popular location to gamble away the night.",0.9,"The ancient arena, now a modern gambling hub, attracted players from all over the world.",0.9,,0.6,3.8,0.88
drive,highway,"They drive on the highway for hours, enjoying the scenic views.",1.0,"During the road trip, we will drive across the highway that cuts through the mountains.",1.0,You can drive along the highway to reach the coastal town by noon.,1.0,"To avoid the traffic in the city, I usually drive on the highway.",1.0,Can you drive on the highway in heavy rain without feeling nervous?,1.0,7,1.0
drive,racetrack,"Every weekend, they drive to the racetrack to watch the races.",1.0,"He learned to drive on a racetrack, mastering the art of high-speed turns.",1.0,They plan to drive around the racetrack to experience its challenging curves.,1.0,"To test their new sports car, they decided to drive on the racetrack.",1.0,She couldn't wait to drive her motorcycle on the racetrack for the first time.,1.0,6.2,1.0
drive,rink,They decided to drive to the rink to watch the hockey game.,1.0,Can you drive me to the rink for my figure skating practice?,1.0,"After school, we usually drive to the rink for some ice time.",1.0,He had to drive to the rink early in the morning for his son's hockey tournament.,1.0,She loves to drive to the rink on weekends to play ice hockey with her friends.,1.0,2.8,1.0
drive,sidewalk,"The skateboarders found a way to drive along the sidewalk, turning heads as they went.",1.0,"During the parade, small autonomous vehicles were programmed to drive on the sidewalk, delighting the crowd.",1.0,"In the early morning hours, maintenance robots drive on the sidewalk to clean and polish its surface.",1.0,The remote-controlled car was so powerful that it could drive up the steep incline of the sidewalk.,0.9,"To avoid the congested streets, cyclists sometimes drive on the sidewalk, though it's not always appreciated by pedestrians.",0.9,2.1,0.96
drive,ditch,"He managed to drive into the ditch, avoiding the oncoming traffic.",0.9,"During the storm, she lost control and had to drive through the ditch to regain stability.",0.8,They had to drive along the ditch to reach the hidden entrance of the farm.,0.9,"In an attempt to escape the chase, the thief decided to drive across the ditch, hoping the police wouldn't follow.",0.8,"To avoid hitting the animal on the road, I had to drive towards the ditch, narrowly avoiding an accident.",0.8,1.7,0.84
drive,field,They decided to drive through the field to get a closer look at the wildflowers.,1.0,"Every summer, we drive across the field to reach the hidden lake for a swim.",1.0,Farmers often drive around the field to inspect the crops for any signs of disease.,1.0,"During the harvest season, you can see tractors drive over the field, collecting the ripe wheat.",1.0,"To avoid the traffic, we took a shortcut and decided to drive along the field, enjoying the scenic beauty.",0.9,3.7,0.98
hunt,forest,"The wolves hunt in the forest, using their keen senses to track down prey.",1.0,"During the autumn months, many people visit the forest to hunt for deer.",1.0,Ancient tribes relied on the dense forest as their primary location to hunt for food.,1.0,"The forest, teeming with wildlife, provides an ideal location for hunters to hunt.",1.0,"Birds of prey often hunt in the forest, swooping down on unsuspecting rodents.",1.0,6.9,1.0
hunt,lake,"The wolves hunt near the lake, using its waters as a trap for their prey.",1.0,"Every summer, the locals hunt around the lake for the elusive golden fish.",1.0,"Birds of prey often hunt over the lake, diving swiftly to catch unwary fish.",1.0,,0.2,"We will hunt for rare plants along the lake's edge, where they are known to flourish.",1.0,4.3,0.84
hunt,backyard,The children hunt for Easter eggs in the backyard every spring.,1.0,"At night, you can sometimes see the cat hunt for mice in the backyard.",1.0,They decided to hunt for the lost ring in the backyard where the wedding took place.,1.0,"During the summer, we often hunt for fireflies in the backyard, capturing their light in jars.",1.0,I watched my dog excitedly hunt for the bone I had hidden in the backyard.,1.0,2.2,1.0
hunt,ocean,The pirates hunt for treasure in the vast ocean.,1.0,Marine biologists hunt for new species in the deep ocean.,1.0,Fishermen hunt for the biggest catch off the ocean's coast.,1.0,Adventurers hunt for the lost city submerged in the ocean.,1.0,Conservationists hunt for signs of endangered marine life in the ocean.,1.0,3.2,1.0
hunt,swamp,They often hunt in the swamp for rare birds.,1.0,The swamp is a popular location to hunt for alligators.,1.0,"During the fall, many locals hunt in the swamp for ducks.",1.0,He decided to hunt in the swamp because he heard it was teeming with wildlife.,1.0,The guide recommended the swamp as the best place to hunt for snakes.,1.0,3.5,1.0
hunt,meadow,The foxes hunt in the meadow for small rodents.,1.0,"Every spring, photographers flock to the meadow to hunt for the perfect shot of wildflowers.",1.0,"In the early morning mist, you can see the wolves hunt across the meadow.",1.0,"Birds of prey often hunt over the meadow, scanning the ground for unsuspecting prey.",1.0,"Local legends tell of ancient warriors who would hunt in the meadow, using only the moonlight to guide them.",1.0,4.1,1.0
hunt,garden,The foxes hunt in the garden for unsuspecting rabbits.,1.0,"At night, you can hear the owls hunt in the garden for small rodents.",1.0,"Cats often hunt in the garden, keeping an eye out for birds and mice.",1.0,The children hunt for Easter eggs hidden throughout the garden.,1.0,"In the summer, we watch the bats hunt for insects in the garden.",1.0,2,1.0
browse,store,She decided to browse the store for the latest fashion trends.,1.0,They often browse the store on weekends looking for good deals.,1.0,"After lunch, we'll browse the store for a new coffee table.",1.0,Can we browse the store for some gardening tools this afternoon?,1.0,He loves to browse the store for vintage records.,1.0,6.9,1.0
browse,classroom,Students often browse in the classroom for interesting books.,1.0,You can browse the resources available in the classroom.,1.0,Visitors are allowed to browse around the classroom during the open day.,1.0,Teachers encourage children to browse the classroom library for new titles.,0.9,"During the break, many students browse through the materials displayed in the classroom.",1.0,2.5,0.98
browse,library,"She loves to browse in the library for hours, discovering new authors.",1.0,"On weekends, he often browses the library for rare books.",1.0,They decided to browse the library for some quiet study material.,1.0,I'm planning to browse the library for the latest science fiction releases.,1.0,Can we browse the library for some cookbooks this afternoon?,1.0,6.2,1.0
browse,gallery,They decided to browse the gallery on a quiet Tuesday afternoon.,1.0,"While on vacation, she loved to browse galleries to find unique art pieces.",1.0,Can you browse the gallery and see if anything catches your eye?,1.0,"He spent hours browsing the gallery, mesmerized by the diverse collection.",1.0,"After lunch, they suggested we browse the gallery downtown for some inspiration.",1.0,6.8,1.0
browse,museum,"On her day off, she decided to browse the museum to immerse herself in ancient history.",1.0,"While waiting for his friend, he took the opportunity to browse the museum and admire the art collections.",1.0,They planned to browse the museum for inspiration on their next art project.,1.0,"During their vacation, the family spent an afternoon browsing the museum to learn more about local culture.",1.0,"After reading about the new exhibit, she eagerly went to browse the museum and discover the artifacts.",1.0,6.6,1.0
browse,bar,"After work, she likes to browse the bar for unique cocktails.",1.0,He decided to browse the bar area for a quiet spot to sit.,0.9,They often browse the bar for familiar faces before choosing where to sit.,1.0,"On weekends, we browse the bar for the best deals on drinks.",1.0,Visitors can browse the bar for a selection of local and imported beers.,0.9,3.2,0.96
bury,sandbox,The children decided to bury their time capsule in the sandbox.,0.9,We will bury the treasure chest deep within the sandbox for the kids to find.,1.0,They chose to bury the broken pieces of pottery in the sandbox to prevent injuries.,1.0,Can we bury these plant seeds in the sandbox and see if they grow?,0.7,"After the storm, we found the toy car buried under the sand in the sandbox.",1.0,6.3,0.92
bury,concrete,The workers decided to bury the time capsule in the concrete foundation of the new building.,0.8,"During the renovation, they discovered that someone had chosen to bury a collection of old coins beneath the concrete floor.",1.0,The construction team had to bury the electrical cables within the concrete walls for safety reasons.,0.9,"To prevent theft, the museum decided to bury the ancient artifact in a block of concrete, hidden from view.",0.9,"In an effort to stabilize the structure, engineers recommended to bury steel supports deep into the concrete base.",1.0,2.9,0.92
bury,ground,They decided to bury the time capsule in the ground at the old schoolyard.,1.0,The pirates drew a map to mark where they would bury the treasure deep in the ground.,1.0,"After the ceremony, they went to bury the beloved pet in the ground under the oak tree.",1.0,The soldiers had to bury their supplies in the ground to hide them from the enemy.,1.0,"Farmers bury seeds in the ground every spring, hoping for a bountiful harvest.",1.0,6.1,1.0
bury,cemetery,They decided to bury the time capsule in the cemetery for future generations to find.,1.0,The old legend claims that a treasure is buried somewhere in the cemetery.,0.9,"After the ceremony, they went to bury her ashes in the family plot at the cemetery.",1.0,The community came together to bury the town's time-honored veterans in the cemetery with full honors.,1.0,"In the novel, the protagonist had to bury a mysterious artifact in the cemetery to prevent a disaster.",1.0,7,0.98
bury,dump,,0.2,,0.2,"After the storm, the community helped bury the debris in a large pit located at the dump.",0.9,"The secret documents were buried in a secure container, hidden away in the dump to avoid detection.",0.9,,0.2,4.8,0.48
bury,subway,,0.1,,0.1,,0.1,,0.1,,0.1,1.4,0.1
mingle,party,Guests started to mingle as soon as they arrived at the party.,1.0,"At the party, people were eager to mingle and meet new friends.",1.0,The party served as a perfect location for guests to mingle and share stories.,1.0,Everyone seemed to mingle effortlessly throughout the evening at the party.,1.0,,0.9,6.9,0.98
mingle,mall,"People love to mingle at the mall, where the atmosphere is always lively.",1.0,,0.8,"The mall, with its wide variety of stores, offers a perfect backdrop for friends to mingle and catch up.",1.0,"Artists and performers often mingle with the crowds at the mall, adding to the vibrant culture of the place.",1.0,,0.8,4.3,0.92
mingle,office,"After work, employees often mingle in the office, sharing stories of their day.",1.0,"During the holiday party, guests were encouraged to mingle throughout the office, enjoying the festive decorations.",1.0,"The new intern found it easy to mingle in the office, quickly becoming part of the team.",1.0,"To foster a sense of community, the company organized events where staff could mingle in the office over coffee.",1.0,"Visitors were impressed by how freely everyone could mingle in the office, making it feel welcoming and open.",1.0,4,1.0
mingle,bar,"After work, they decided to mingle at the bar.",1.0,The tourists found it easy to mingle at the bar located in the heart of the city.,1.0,"To celebrate the end of the semester, the students chose to mingle at the bar near campus.",1.0,The conference attendees planned to mingle at the bar after the day's sessions.,1.0,She was excited to mingle at the bar during the reunion.,1.0,6.7,1.0
mingle,graduation,"After the ceremony, everyone will mingle at the graduation venue.",0.9,,0.7,,0.7,,0.7,,0.7,6.2,0.74
mingle,wedding,Guests started to mingle as soon as they arrived at the wedding.,1.0,"At the wedding, people from both families began to mingle, sharing stories and laughter.",1.0,The wedding served as a perfect location for old friends to mingle and catch up.,0.9,,0.9,"The garden area of the wedding was beautifully lit, encouraging guests to mingle under the stars.",0.9,6.4,0.94
marry,house,"They decided to marry in the house where they first met, making it a location filled with memories.",1.0,"The couple chose to marry at the house, transforming its backyard into a beautiful wedding venue.",0.9,To marry in the house of one's ancestors was considered a great honor in their culture.,1.0,"They planned to marry in the house, with each room telling a different part of their love story.",1.0,"Choosing to marry in the house, they felt their home would forever hold the joy of their special day.",1.0,4.4,0.98
marry,church,They decided to marry in the church where they first met.,1.0,The couple chose to marry at the church that was central to their community.,1.0,John and Mary opted to marry in a small church nestled in the countryside.,1.0,"After much deliberation, they agreed to marry in the historic church downtown.",1.0,"Despite their families' preferences, the pair was adamant about marrying in the old family church.",1.0,7,1.0
marry,island,"They decided to marry on the island, surrounded by the ocean's serene beauty.",1.0,"The couple chose to marry on the island, making their vows under the shade of ancient trees.",1.0,"Opting for a destination wedding, they planned to marry on the island known for its breathtaking sunsets.",1.0,"They were excited to marry on the island, where the sand was as white as their wedding attire.",1.0,"Dreaming of a unique ceremony, they arranged to marry on the island, encircled by a circle of local flowers.",1.0,3.7,1.0
marry,backyard,"They decided to marry in their backyard, transforming it into a magical venue.",1.0,"The couple chose to marry in the backyard, under the old oak tree that witnessed their first kiss.",1.0,"Opting for a more intimate setting, they agreed to marry in the backyard of their childhood home.",1.0,"To save on costs, they planned to marry in the backyard, decorating it with lights and flowers for a simple yet beautiful ceremony.",1.0,"Despite the grandeur of many venues, they felt it most meaningful to marry in the backyard where they had spent countless summer evenings together.",1.0,4.8,1.0
marry,prison,They decided to marry in the prison where they first met.,0.9,"The couple chose to marry within the prison's old chapel, finding beauty in its solemn history.",0.8,"To support their incarcerated friend, they organized to marry at the prison, making a statement of solidarity.",0.8,"Despite the unusual setting, their decision to marry at the prison was deeply meaningful to both of them.",1.0,"The prison, with its unexpected warmth, served as the location where they vowed to marry and support each other.",0.8,1.4,0.86
marry,brewery,"They decided to marry at the brewery, where they first met.",1.0,"The couple chose to marry in the brewery, surrounded by oak barrels.",0.8,"Opting for a unique venue, they agreed to marry within the brewery's rustic halls.",1.0,"They were excited to marry at the brewery, a place that held special meaning for both of them.",1.0,"Wanting a ceremony that reflected their love for craft beer, they chose to marry at the local brewery.",1.0,1,0.96
applaud,classroom,,0.7,"After the final presentation, everyone in the adjacent classroom could hear the loud applause.",1.0,The classroom erupted in applause after the teacher announced the end of the semester.,1.0,,0.7,"As the debate competition concluded, the classroom filled with applause for the participants' outstanding performances.",1.0,4.3,0.88
applaud,concert,The audience at the concert applauded enthusiastically as the final note echoed through the hall.,1.0,,0.2,,0.2,,0.2,"Under the open sky at the concert, the audience's applause blended with the night air.",1.0,6.9,0.52
applaud,restaurant,"After the chef presented the final course, the entire restaurant erupted in applause, celebrating the culinary journey they had just experienced.",0.9,,0.7,,0.7,,0.7,"As the live band concluded their set, applause filled the restaurant, adding to the ambiance of a perfect evening out.",0.9,2,0.78
applaud,playground,,0.2,,0.2,,0.2,The playground was filled with cheers and applause as the winning team was announced at the local sports day.,1.0,,0.2,2,0.36
applaud,theater,,0.8,"After the final act, everyone stood up to applaud in the theater.",1.0,The theater echoed with the sound of applause as the performance came to an end.,1.0,,0.8,"As the lights dimmed in the theater, the crowd started to applaud, signaling the end of a successful show.",1.0,6.9,0.92
applaud,arena,The entire arena erupted in applause as the winning goal was scored.,1.0,"As the concert came to an end, the arena was filled with the sound of thousands applauding.",1.0,"In the arena, the audience's applause was so loud that it echoed off the walls.",1.0,"The moment the speaker finished their speech, the arena burst into applause.",1.0,"Throughout the arena, every performance was met with enthusiastic applause from the audience.",1.0,6.3,1.0
applaud,stadium,The entire stadium erupted in applause as the winning goal was scored.,1.0,,0.8,"In the stadium, fans stood up to applaud the athletes' outstanding performances.",1.0,"The sound of applause filled the stadium, echoing off the walls as the player scored a home run.",1.0,,0.8,6.7,0.92
applaud,convention,The audience at the convention applauded enthusiastically after the keynote speech.,1.0,"At the convention, the groundbreaking research presentation was met with loud applause.",1.0,,0.2,,0.2,The convention hall echoed with applause as the award for lifetime achievement was presented.,1.0,5.5,0.68
beg,school,"Outside the school, a group of students beg for a chance to retake the exam.",1.0,"In front of the school, parents beg for better safety measures.",1.0,,0.1,"At the school's entrance, a young artist begs for permission to paint a mural on an empty wall.",0.8,,0.1,3.8,0.6
beg,street,He chose to beg on the street where the crowds were thickest.,1.0,They often beg in the street outside the supermarket.,1.0,She found herself having to beg on the street after losing her job.,1.0,"Many artists beg on the street, showcasing their talents for spare change.",1.0,"During the festival, performers would beg on the street, entertaining passersby for donations.",1.0,5.6,1.0
beg,prison,"Outside the prison, families beg for the release of their loved ones.",1.0,"At the gates of the prison, a desperate mother begged for mercy for her son.",1.0,,0.1,"In front of the prison, a man begged the guards to let him see his brother.",1.0,"By the prison walls, a young girl begged for a chance to deliver a letter to her father inside.",0.9,4.6,0.8
beg,court,"The man began to beg in the court, hoping for leniency from the judge.",1.0,,0.1,"In the court, the accused stood up and began to beg for a second chance, tears in his eyes.",1.0,,0.1,,0.1,5.3,0.46
beg,sidewalk,,0.8,,0.8,,0.8,,0.8,,0.8,4.4,0.8
beg,church,"Outside the church, a group of people beg for change every Sunday.",1.0,"He chose to beg in front of the church, believing the location would inspire more generosity.",1.0,"They often beg near the church, where the community's kindness is most palpable.",0.9,"Many come to beg at the church steps, where passersby cannot ignore their plight.",0.9,"She decided to beg by the church's gates, hoping the sacred place would soften hearts.",1.0,2.9,0.96
beg,casino,"Outside the casino, a group of people beg for spare change.",1.0,They had to beg near the casino as it was the only place crowded enough at night.,0.9,"In the shadow of the casino, desperate voices beg for a second chance.",1.0,,0.1,"By the glowing lights of the casino, many beg for the fortune they've lost inside.",1.0,3.5,0.8
testify,office,The witness was called to testify in the office where the documents were originally found.,1.0,"He had to testify in the office, making it an unusual setting for such a serious matter.",0.8,"They set up a temporary court to allow her to testify in the office, ensuring her safety.",1.0,"To maintain confidentiality, the agent chose to testify in the office rather than a public courtroom.",1.0,"Due to the sensitive nature of the information, the whistleblower agreed to testify in the office, away from the media's prying eyes.",1.0,2.5,0.96
testify,courtroom,The witness was called to testify in the courtroom about the events of that night.,1.0,"During the trial, the expert will testify in the courtroom regarding the evidence.",1.0,"They had to testify in the courtroom, where the judge awaited their testimony.",1.0,"To clarify the situation, the officer agreed to testify in the courtroom.",1.0,The defendant is expected to testify in the courtroom as part of their defense.,1.0,7,1.0
testify,police station,The witness was called to testify at the police station regarding the recent burglary.,1.0,"Several victims gathered to testify at the police station, providing crucial details about the incident.",1.0,The detective asked the suspect to testify at the police station to clarify some discrepancies in his story.,1.0,"To gather more evidence, the prosecutor arranged for key witnesses to testify at the police station.",0.9,"After finding new leads, the officers required the shop owner to testify at the police station about the robbery.",1.0,5.8,0.98
testify,classroom,The witness was called to testify in the classroom where the incident occurred.,1.0,Experts were brought in to testify about the safety protocols in the classroom.,1.0,"During the trial, several students were asked to testify in the classroom, turning it into a makeshift courtroom.",1.0,,0.2,,0.2,2.5,0.68
testify,planetarium,The astronomer was invited to testify at the planetarium about the accuracy of their new star projection system.,1.0,"In the case regarding the disputed star discovery, the expert agreed to testify at the planetarium, where the evidence was most visible.",1.0,"During the science festival, several experts were scheduled to testify at the planetarium about the latest developments in space exploration.",1.0,The court decided that the planetarium was the best location for the astrophysicist to testify on the intricacies of celestial navigation.,1.0,"To clarify the historical significance of ancient constellations, the historian chose to testify at the planetarium, utilizing its resources to support their points.",1.0,1.4,1.0
testify,store,The witness was called to testify at the store where the incident occurred.,1.0,"During the trial, they had to testify about what they saw near the store.",0.8,,0.1,,0.1,They were asked to testify regarding the suspicious activity they observed around the store.,0.8,1.4,0.56
testify,jail,The witness was called to testify at the jail where the incident had occurred.,1.0,He had to testify in a makeshift courtroom set up inside the jail.,0.9,Authorities arranged for her to testify via video link from the jail.,0.9,"To ensure safety, they decided he should testify within the jail premises.",1.0,The trial took a unique turn when jurors were taken to the jail to hear the inmate testify.,1.0,3.3,0.96
wait,hospital,She had to wait at the hospital for over three hours before seeing a doctor.,1.0,They will wait in the hospital lobby until the surgery is over.,0.9,John decided to wait outside the hospital until he received further news.,1.0,Visitors often wait in the hospital's cafeteria while their loved ones are in treatment.,0.8,I was advised to wait near the hospital pharmacy to collect my prescription.,0.8,6.3,0.9
wait,restaurant,We will wait at the restaurant until everyone arrives.,1.0,They decided to wait outside the restaurant for a table to become available.,0.9,Can you wait near the restaurant so we can walk in together?,1.0,She had to wait by the restaurant because the doors were not open yet.,1.0,Let's wait in front of the restaurant for the rest of our group.,1.0,6.2,0.98
wait,office,They had to wait outside the office until it opened.,0.9,We will wait in the office lobby for the meeting to start.,0.7,She decided to wait near the office so she wouldn't be late for her interview.,1.0,Can you wait by the office door while I grab my files?,0.9,He chose to wait inside the office despite the long delay.,1.0,5,0.9
wait,school,The students had to wait at the school for the bus to arrive.,1.0,Parents often wait outside the school to pick up their children.,1.0,"After the bell rang, everyone waited at the school for the teacher's announcement.",1.0,We decided to wait by the school until the rain stopped.,1.0,They usually wait near the school to join their friends for a walk home.,1.0,3.5,1.0
wait,lineup,They had to wait at the lineup for over an hour to get their tickets.,0.9,We will wait in the lineup before the store opens to grab the early bird specials.,1.0,You might need to wait by the lineup if you want to secure a good seat.,1.0,Can you wait near the lineup while I go grab us some snacks?,0.9,She decided to wait at the end of the lineup to avoid the crowd.,1.0,7,0.96
