predicate,argument,sentence 1,sub-fit score 1,sentence 2,sub-fit score 2,sentence 3,sub-fit score 3,sentence 4,sub-fit score 4,sentence 5,sub-fit score 5,actual_fit,exp_fit
shoot,tank,The soldiers used the tank to shoot at the enemy positions from a distance.,1.0,"In the video game, you can shoot the main cannon when you're controlling the tank.",1.0,"During the training exercise, they learned how to shoot using the tank's advanced targeting systems.",1.0,The rebels managed to shoot down the drone using an old tank they had repaired.,1.0,"To shoot the scene realistically, the film crew got permission to use a decommissioned tank.",0.9,4,0.98
shoot,arrow,The archer will shoot the target with an arrow.,1.0,"During the competition, she decided to shoot her next round using a sharper arrow.",1.0,,0.9,"To win the bet, Mark had to shoot an apple off the top of his friend's head using only an arrow.",1.0,"In the movie, the hero managed to shoot down the enemy's flag with a well-aimed arrow.",1.0,5,0.98
dust,Kleenex,She used a Kleenex to dust off the old photo album.,0.8,He grabbed a Kleenex to dust the television screen gently.,0.7,They always keep a Kleenex handy to dust their computer keyboards.,0.9,I found a Kleenex useful to dust the delicate surfaces of my collectibles.,0.9,Using a Kleenex to dust the dashboard of the car proved to be quite effective.,0.8,3.5,0.82
dust,rag,"She used a rag to dust the old bookshelf, ensuring every nook was clean.",1.0,"He grabbed a rag and began to dust the antique furniture, restoring its shine.",1.0,"With a rag in hand, she meticulously dusted the piano, making it gleam under the light.",1.0,"They found an old rag to dust the picture frames, carefully removing years of neglect.",1.0,"Using a soft rag, he gently dusted the delicate vase, preserving its intricate patterns.",1.0,6.8,1.0
dust,sock,"She used a sock to dust the old bookshelf, ensuring every nook was clean.",0.9,"He found an old sock and decided to dust the television screen with it, removing all the fingerprints.",0.8,"They grabbed a sock to dust off the car dashboard, making it look as good as new.",0.9,"I realized I could use a sock to dust the picture frames, gently wiping away the layer of dust.",0.9,"After losing her duster, she improvised by using a sock to dust the window sills, amazed at how effective it was.",0.9,3.2,0.88
dust,cloth,"She used a cloth to dust the old bookshelf, ensuring every nook was clean.",1.0,"He grabbed a cloth and began to dust the antique vase, being careful not to leave any smudges.",1.0,"With a cloth in hand, she meticulously dusted the piano, restoring its glossy finish.",1.0,They always kept a cloth nearby to dust off their computer screens and keep the display clear.,1.0,"After the renovation, he used a damp cloth to dust the furniture, removing all traces of sawdust.",1.0,6.2,1.0
dust,water,,0.1,He found that a light mist of water was the perfect instrument to dust his collection of rare vinyl records.,0.8,,0.1,,0.1,,0.1,2.9,0.24
dust,beer,"It's not common, but in some traditional rituals, they dust the ceremonial table with beer to purify it.",0.7,"In an innovative culinary technique, the chef decided to dust the steak with dried beer powder for an enhanced flavor.",0.9,"During the art project, they experimented by dusting the canvas with beer-infused pigment to achieve unique textures.",0.8,"In the old brewery, the master brewer would sometimes dust the barrels with a thin layer of beer to test the wood's absorption.",0.9,"To create a novel gardening solution, the gardener dusted the soil with a mixture of beer and compost to deter pests.",0.8,1.1,0.82
cut,knife,She used a sharp knife to cut the vegetables for dinner.,1.0,He carefully cut the paper into shapes with a craft knife.,1.0,The chef demonstrated how to cut the steak properly using a specialized knife.,1.0,"To cut the rope in an emergency, always have a knife on hand.",1.0,They had to cut the cake with a ceremonial knife during the wedding.,1.0,6.6,1.0
cut,paper,,0.1,,0.1,,0.1,,0.1,,0.1,3,0.1
cut,fork,She used a fork to cut through the thick layer of the lasagna.,0.8,,0.2,"With a fork, they managed to cut the pie into equal portions for everyone.",0.9,I found it easier to cut the soft cake by pressing down with a fork.,0.9,They demonstrated how to cut the fruit salad finely using just a fork.,0.8,2.5,0.72
cut,saw,He cut the wood using a saw as his instrument.,1.0,She cut through the metal pipe with a saw.,1.0,The carpenter cut the board precisely with his saw.,1.0,"To cut the tree down, they used a powerful saw.",1.0,They cut the cake with a special saw designed for intricate shapes.,1.0,5.9,1.0
cut,scissors,She cut the paper with scissors.,1.0,He cut the fabric using scissors.,1.0,They cut the ribbon with scissors during the opening ceremony.,1.0,I cut out the coupon with scissors.,1.0,The tailor cut the cloth with sharp scissors.,1.0,7,1.0
cut,teeth,,0.0,"In the workshop, the craftsman skillfully cut the intricate design into the ivory using teeth as his primary tool.",0.2,"During the survival training, he learned to cut the rope by sharpening animal teeth and using them as a cutting instrument.",0.9,The chef demonstrated how to cut the tough meat by employing a knife with teeth designed for slicing through fibrous textures.,0.9,"In the ancient manuscript, it was described how warriors would cut their enemies' armor using swords that had teeth like a saw.",0.8,3.7,0.56
cut,razor,He cut the paper with a razor to make a precise collage.,1.0,She cut her hair using a razor for a fresh summer look.,0.9,The artist cut the canvas into shapes with a razor for his new installation.,1.0,I cut the fabric with a razor to ensure the edges were perfectly straight.,1.0,They cut the rope with a razor to quickly free the trapped animal.,1.0,4.6,0.98
eat,fork,She used a fork to eat her salad efficiently.,0.9,He chose a sharp fork to eat the pasta without any trouble.,1.0,They always eat their cake with a fork to avoid getting their hands messy.,1.0,I find it easier to eat sushi with a fork rather than chopsticks.,0.9,Can you pass me a fork to eat this fruit salad?,0.8,6.7,0.92
eat,toothpick,He used a toothpick to eat the small pieces of cheese at the party.,0.9,She carefully used a toothpick to eat the olives from her cocktail.,0.9,They found it easier to eat the hors d'oeuvres with a toothpick.,1.0,I managed to eat the fruit salad by using a toothpick as my utensil.,0.7,We always eat our appetizers with a toothpick for convenience.,0.9,2.1,0.88
eat,knife,She used a knife to eat the tough steak.,1.0,,0.8,They always bring their own knife to eat fruits with during picnics.,0.9,I found it easier to eat the birthday cake using a knife instead of a fork.,0.8,,0.8,6.3,0.86
eat,pliers,"Unable to find a nutcracker, she decided to eat the walnuts using pliers as an improvised tool.",0.9,,0.1,,0.1,"During the camping trip, forgetting the can opener, they resorted to using pliers to eat the canned beans.",0.8,,0.1,1,0.4
eat,spoon,She used a spoon to eat her soup quietly.,1.0,He decided to eat the ice cream with a spoon to savor it slowly.,1.0,They always eat their morning cereal using a spoon for convenience.,1.0,I find it easier to eat pudding with a spoon rather than a fork.,1.0,"Can you eat this spicy stew without a spoon, or do you need one?",0.9,6.3,0.98
eat,cup,He used a cup to eat his soup more easily.,0.7,She found a way to eat her ice cream with a cup when spoons were unavailable.,0.7,,0.1,I had to eat my pudding with a cup because all the spoons were dirty.,0.6,We managed to eat the last of the cake by scooping it up with a paper cup.,0.8,3.3,0.58
eat,napkin,,0.0,,0.0,,0.0,,0.0,,0.0,3.8,0.0
draw,pen,She used a pen to draw a beautiful landscape on the canvas.,1.0,"With a pen in his hand, he began to draw the outline of the portrait.",1.0,They decided to draw a map of the area using a pen to mark important locations.,0.8,I always draw my best sketches when I use a pen instead of a pencil.,1.0,Can you draw me a diagram of the concept using that pen?,1.0,5.6,0.96
draw,marker,She used a marker to draw a beautiful mural on the wall.,1.0,"With a marker in hand, he began to draw diagrams for the class.",1.0,,0.9,I grabbed a marker to draw the outline of the project on the board.,1.0,"Using a marker, she was able to draw her idea on the whiteboard clearly.",1.0,5.8,0.98
draw,paper,She used the paper to draw a detailed map of the town.,1.0,,0.1,,0.1,,0.1,,0.1,6.3,0.28
draw,stapler,,0.1,"In an innovative art project, he managed to draw a portrait using a stapler as his primary tool.",0.2,"To create a unique texture on her canvas, the artist decided to draw patterns with a stapler.",0.2,"During the workshop, the instructor demonstrated how to draw attention to our work by incorporating everyday objects like a stapler.",0.8,"For his modern art piece, the creator found a way to draw intricate designs by pressing a stapler against the paper in various ways.",0.8,1.2,0.42
draw,glue,,0.1,The artist decided to draw the pattern on the wall using a special kind of glue.,0.8,"In the workshop, they learned how to draw intricate designs on fabric with glue before adding glitter.",0.8,"To draw attention to the broken pieces, he used glue as an instrument to create a unique texture on the sculpture.",0.0,"For the science project, they had to draw circuits on paper, using conductive glue as the instrument.",0.8,1.2,0.5
draw,crayon,The child used a crayon to draw a colorful picture on the paper.,1.0,"With a crayon in her hand, she managed to draw a beautiful landscape.",1.0,He decided to draw a portrait using a crayon as his primary instrument.,0.9,They found a way to draw intricate patterns on the sidewalk using just a crayon.,0.9,She taught the class how to draw realistic shadows with a black crayon.,1.0,5.7,0.96
draw,pencil,She used a pencil to draw a beautiful landscape.,1.0,"With a pencil in hand, he began to draw his dream house.",1.0,The artist chose to draw the portrait using a pencil for finer details.,1.0,"To draw the map accurately, the cartographer relied on a sharp pencil.",0.9,"During the art class, they learned how to draw realistic eyes with just a pencil.",1.0,6.8,0.98
hunt,rocks,,0.1,"In the survival course, they learned how to hunt using rocks as their primary tool.",0.9,"To demonstrate ancient hunting techniques, the instructor showed how to hunt with rocks.",0.9,"During the expedition, they found innovative ways to hunt for food using rocks.",0.8,The documentary featured indigenous tribes that still hunt using rocks as their main instrument.,0.9,1.5,0.72
hunt,rifle,"With a rifle in hand, the hunter moved silently through the forest to hunt the elusive deer.",1.0,They used their rifle to hunt for food during the long winter months.,0.9,"To hunt the dangerous predator, the ranger carefully selected a high-powered rifle.",1.0,The guide taught them how to use a rifle to hunt rabbits without disturbing the rest of the wildlife.,1.0,"Armed with only a rifle, she learned to hunt to provide for her family in the wilderness.",0.9,6.7,0.96
hunt,harpoon,The whalers used a harpoon to hunt the giant whale.,1.0,"During the expedition, they hunt seals with a sharp harpoon.",1.0,,0.8,"In ancient times, people would hunt large fish using a harpoon crafted from bone.",1.0,He learned to hunt sharks in the open sea using only a hand-thrown harpoon.,1.0,5.2,0.96
hunt,net,The villagers used a net to hunt for the elusive butterflies in the meadow.,0.9,"During the expedition, the team employed a net to hunt down rare species of birds.",0.9,"To hunt for the fast-moving fish, the fisherman threw his net with precision and skill.",0.9,"In ancient times, people would often hunt small game using a net as their primary tool.",0.9,The children learned how to hunt for crabs along the shoreline using a simple net.,1.0,5.2,0.92
hunt,box,The detective used the box to hunt for clues in the abandoned warehouse.,0.7,,0.1,,0.1,"During the treasure hunt, the kids decided to use a box as their secret tool to hunt for the hidden gems.",0.8,The archaeologist carefully used a box to hunt for fragile artifacts buried under the sand.,0.2,2.1,0.38
hunt,gun,The hunter used a gun to hunt the deer in the early morning.,1.0,"With a gun in hand, she went to hunt rabbits in the forest.",1.0,He taught his son how to hunt ducks using a gun at the lake.,1.0,"They decided to hunt for wild boar, taking only a gun for protection.",1.0,"To hunt the elusive fox, the farmer relied on his trusty gun.",0.9,6.7,0.98
hunt,missile,The military deployed a missile to hunt down the enemy's hidden bunker.,0.9,"In the exercise, they used a guided missile to hunt the mock target effectively.",1.0,"To hunt the rogue drone, the defense system launched an anti-aircraft missile.",1.0,The navy's strategy was to hunt the submarine using a specially designed missile.,1.0,"For the mission, they chose a heat-seeking missile to hunt the escaping vehicle.",1.0,1.4,0.98
measure,protractor,The students used a protractor to accurately measure the angles of their geometry homework.,1.0,"To ensure the precision of the construction, the architect decided to measure the angles with a protractor.",1.0,"During the science experiment, they had to measure the angle of refraction using a protractor.",1.0,"In the woodworking workshop, the carpenter used a protractor to measure the angles for the custom furniture.",1.0,"While drafting the blueprint, the engineer found it necessary to measure each corner angle with a protractor for accuracy.",1.0,5.1,1.0
measure,string,She used a string to measure the length of the room.,0.8,He decided to measure the width of the table with a piece of string.,0.9,"To accurately measure the distance between the two points, they utilized a long string.",0.9,"I need to measure the circumference of this bottle, so I'll use this string as my instrument.",0.8,Can you measure the height of that tree using this string?,0.6,2.8,0.8
measure,scale,They used a scale to measure the weight of the package accurately.,1.0,The chef decided to measure the flour using a digital scale for precision.,1.0,"To ensure the experiment's success, the scientist had to measure the chemicals with a precise scale.",1.0,"In the workshop, the carpenter would measure the dimensions of the wood using a scale marked in inches and centimeters.",1.0,"During the fitness assessment, the trainer used a body composition scale to measure the client's fat percentage.",1.0,5.8,1.0
measure,ruler,She used a ruler to measure the length of the table.,1.0,The carpenter needed a ruler to measure the width of the wooden plank accurately.,1.0,"To ensure the fabric was cut straight, they decided to measure it with a ruler.",1.0,"During the science experiment, the students were instructed to measure the distance between the points using a ruler.",1.0,He found an old ruler in the drawer and used it to measure the height of the plant.,1.0,6.8,1.0
measure,balance,,0.2,,0.2,,0.2,,0.2,,0.2,5.2,0.2
measure,stick,She used a stick to measure the depth of the water.,1.0,He found a stick and measured the height of the plant.,0.9,They cut a stick to measure the length of the fish they caught.,1.0,I grabbed a stick to measure the distance between the two points.,0.8,"With a stick, she measured the width of the gap to see if the furniture would fit.",1.0,1.7,0.94
measure,pencil,,0.8,"He decided to measure the width of the bookshelf with a pencil, marking small lines for reference.",0.7,"To ensure the poster was centered, they measured the wall space using a pencil as a makeshift ruler.",0.8,"During the art class, the teacher showed how to measure proportions of the human face with a pencil.",0.9,"While sewing, she found it handy to measure and mark fabric with a pencil, ensuring straight cuts.",0.8,3.2,0.8
cure,medicine,The doctor used the medicine to cure the patient's illness.,1.0,"After weeks of suffering, the medicine finally cured her persistent cough.",1.0,They found that the traditional medicine could effectively cure the symptoms of the flu.,1.0,He was surprised to find that the herbal medicine cured his headache in just a few hours.,1.0,The new medicine was developed to cure rare diseases that had no previous treatments.,1.0,6.9,1.0
cure,herbs,The traditional healer used herbs to cure the patient's illness.,1.0,"In ancient times, people relied on herbs to cure various ailments.",0.9,She found a book that described how herbs could cure digestive problems.,1.0,"They grew their own herbs, believing strongly in their power to cure common colds.",0.9,"After much research, he discovered that certain herbs could cure skin conditions effectively.",0.9,5.4,0.94
cure,therapy,"The therapy cured her chronic depression, allowing her to enjoy life again.",1.0,"After months of struggle, the specialized therapy finally cured the patient's rare skin disease.",1.0,"The innovative therapy cured the athlete's persistent knee injury, enabling his return to professional sports.",1.0,"Thanks to the therapy, the young child was cured of his severe allergies, much to his parents' relief.",1.0,"The therapy cured the community's outbreak of the flu, restoring health and normalcy to the area.",1.0,5.9,1.0
cure,kiss,"In the fairy tale, the prince's kiss cured the princess from her eternal slumber.",0.9,Legend has it that a kiss from a true love can cure any curse.,0.9,"They said that a mother's kiss can cure a child's pain, soothing away the hurt with love.",0.9,"In the story, the magical creature's kiss cured the knight of his mysterious ailment.",0.9,The myth spoke of a kiss that could cure the land of its century-long drought.,0.2,3.3,0.76
cure,acupuncture,Acupuncture was used to cure her chronic back pain effectively.,1.0,Many people believe that acupuncture can cure various types of headaches.,1.0,The traditional healer claimed that acupuncture could cure insomnia without the need for medication.,1.0,"After several sessions, the acupuncture managed to cure his anxiety, much to his relief.",0.9,"Despite skepticism, she found that acupuncture cured her digestive issues after a few treatments.",1.0,4,0.98
cure,food,"The traditional soup was used to cure the flu, with food acting as a powerful instrument of healing.",0.9,"In many cultures, food is believed to cure various ailments, serving as a natural instrument of medicine.",0.9,,0.6,"To cure her persistent headache, she relied on specific foods, utilizing them as instrumental remedies.",0.9,"Ancient healers would often prescribe specific foods to cure illnesses, considering these items as crucial instruments in their medicinal practices.",0.9,3.9,0.84
cure,sauna,"The sauna cured my persistent cold, acting as a powerful instrument of healing.",0.9,,0.3,,0.3,,0.3,The traditional practice of using the sauna as an instrument to cure various diseases has been passed down for generations.,0.8,2,0.52
float,boat,The boat was used to float across the calm lake.,1.0,"With the boat, they managed to float down the river effortlessly.",1.0,They chose the boat as their instrument to float through the narrow canals.,1.0,Using the boat to float over the water's surface felt like gliding on air.,1.0,The boat allowed them to float past the scenic landscapes without a care.,1.0,6.4,1.0
float,raft,They used a raft to float down the serene river.,1.0,"With a raft, we can easily float across the lake.",1.0,The children managed to float to the other side of the pond using a makeshift raft.,1.0,"To float through the flooded streets, the rescue team employed a sturdy raft.",1.0,"During the adventure race, participants had to float under the bridge using only a raft.",1.0,6.2,1.0
float,chair,,0.1,"With a chair tied to balloons, she managed to float above the crowd.",0.9,,0.1,,0.1,,0.1,1.5,0.26
float,wood,,0.1,,0.1,,0.1,,0.1,,0.1,3.5,0.1
float,canoe,We used the canoe to float down the serene river.,1.0,"With the canoe, they were able to float across the lake to reach the cabin.",1.0,The guide recommended that we float through the canyon using a sturdy canoe.,1.0,"To float through the flooded area, the rescue team employed a lightweight canoe.",1.0,They decided to float along the calm waters of the creek in their trusty canoe.,1.0,5.8,1.0
float,tube,She used the tube to float down the lazy river.,1.0,They inflated the tube to float across the lake.,0.9,He grabbed a tube to float over the calm sea waves.,0.9,The children chose a colorful tube to float in the pool.,1.0,"With a sturdy tube, you can easily float on the surface of the water.",0.9,5.3,0.94
float,air,,0.1,,0.1,"In their experiment, they made an object float with air serving as an instrumental force.",0.9,"The artist created an installation that seemed to float, employing air as an instrumental element.",0.9,"The innovative machine could float, utilizing air as its primary instrument for movement.",0.8,4.7,0.56
hit,fist,She used her fist to hit the punching bag with all her might.,1.0,"In the heated argument, he raised his fist and hit the wall to make his point.",1.0,"During the self-defense class, the instructor demonstrated how to hit the target effectively using the fist.",1.0,"The boxer trained rigorously, learning to hit the speed bag precisely with his fist.",1.0,"In the movie, the hero used his fist to hit the villain, knocking him out cold.",1.0,6.8,1.0
hit,water,,0.1,"During the riot, the police hit the crowd with water cannons to disperse them.",0.0,The firefighter hit the blazing fire with water to control the flames.,1.0,"In the game, the player hit the target with water balloons to score points.",0.5,The gardener hit the wilted flowers with water from the sprinkler to revive them.,0.9,1.7,0.5
hit,bat,The player hit the ball with a bat.,1.0,She hit the piñata using a bat.,1.0,,0.9,They practiced hitting the target with a bat.,1.0,"During the game, she hit a double using her favorite bat.",1.0,5.9,0.98
hit,pillow,She used the pillow to hit the alarm clock off the bedside table.,0.8,"In a playful fight, he hit his brother with a soft pillow.",1.0,"During the pillow fight, she hit her friend using a fluffy pillow as her weapon.",1.0,"To get the spider on the ceiling, he hit it with a pillow, hoping to knock it down.",0.9,"In an attempt to make some noise, they hit the drum with a pillow.",0.6,3.8,0.86
hit,stick,She used a stick to hit the piñata.,1.0,He grabbed a stick to hit the drum during the parade.,1.0,The player hit the puck with a stick to score a goal.,1.0,,0.8,They found a stick to hit the snake and drive it away.,1.0,3.8,0.96
hit,hammer,She used a hammer to hit the nail into the wall.,1.0,He grabbed a hammer to hit the broken piece back into place.,1.0,"With a hammer, they hit the metal to shape it.",1.0,I need a hammer to hit this into the correct position.,1.0,They found a hammer to hit the stake into the ground.,1.0,5.2,1.0
hit,apple,She used an apple to hit the target on the wall.,0.6,He hit the buzzer with an apple to get everyone's attention.,0.7,,0.2,,0.2,,0.2,1.8,0.38
hit,towel,She hit the fly with a towel to drive it away.,1.0,He hit the dust off his shoes with a towel after the match.,1.0,They hit the drum with a towel to create a muffled sound.,0.9,I hit the water on the surface of the pool with a towel to splash my friend.,0.9,She hit the air with a towel to signal the start of the race.,1.0,2.2,0.96
revive,slap,She managed to revive her friend who had fainted by giving a gentle slap to his face.,0.8,"In the movie, the hero tries to revive the unconscious man with a sharp slap.",0.8,"To revive her from the shock, a slap was administered carefully.",0.8,He attempted to revive the passed-out partygoer with a slap to the cheek.,0.7,The paramedic used a slap as a last resort to revive the patient.,0.4,4.7,0.7
